date,price
19850315,355.75
19850326,356.75
19850404,364.25
19850416,361.75
19850425,350.75
19850506,337.75
19850515,342.25
19850524,316.25
19850605,322.5
19850614,326.75
19850625,323.25
19850705,317
19850716,302.25
19850725,297.25
19850805,287.5
19850814,294.25
19850823,283.5
19850904,277
19850913,278.5
19850924,299.25
19851003,295.5
19851014,304.5
19851023,316.75
19851101,324.75
19851112,331.75
19851121,337.5
19851203,341.25
19851212,347
19851223,337.75
19860103,330.25
19860114,324.5
19860123,325.75
19860203,322.25
19860212,332
19860224,334.75
19860305,341
19860314,350.25
19860325,311.75
19860404,310.5
19860415,280.25
19860424,287
19860505,315.5
19860514,336
19860523,255.75
19860604,252.75
19860613,245.75
19860624,252.75
19860703,250
19860715,266.5
19860724,256.25
19860804,262.75
19860813,254.25
19860822,251.5
19860903,259.75
19860912,257.75
19860923,262.25
19861002,273.75
19861013,278
19861022,290
19861031,287
19861111,277.5
19861120,282.75
19861202,289.75
19861211,279.5
19861222,277.25
19870102,273
19870113,281.25
19870122,286.5
19870202,287.75
19870211,278.25
19870223,279.25
19870304,290
19870313,292
19870324,285.25
19870402,276.5
19870413,278.5
19870423,279.75
19870504,292
19870513,313
19870522,287.75
19870603,272.25
19870612,263.5
19870623,262.75
19870702,263.75
19870714,261.5
19870723,259.75
19870803,262.5
19870812,268.75
19870821,274
19870901,276
19870911,281
19870922,296.75
19871001,298.5
19871012,308
19871021,302.25
19871030,296.5
19871110,287.25
19871119,293
19871201,309
19871210,305.25
19871221,310.75
19871231,310.75
19880112,325
19880121,326.25
19880201,329.25
19880210,330.75
19880222,322.25
19880302,306.5
19880311,292.5
19880322,299
19880331,299.25
19880412,320.25
19880421,314.75
19880502,300
19880511,303
19880520,346.5
19880601,347.75
19880610,373.75
19880621,389.5
19880630,387
19880712,381.25
19880721,386.5
19880801,381
19880810,383.25
19880819,391.75
19880830,395.5
19880909,400
19880920,404.5
19880929,412.75
19881010,427.5
19881019,426.75
19881028,410
19881108,426.25
19881117,409.25
19881129,423.5
19881208,429.5
19881219,436.5
19881229,436.75
19890110,446.75
19890119,442.75
19890130,437.25
19890208,428.25
19890217,424.5
19890301,439.25
19890310,436
19890321,426
19890331,403.75
19890411,401
19890420,409.25
19890501,423.75
19890510,426.5
19890519,403.25
19890531,387.5
19890609,386.5
19890620,395.75
19890629,405
19890711,391.75
19890720,390.75
19890731,384.5
19890809,395
19890818,392.25
19890829,384.5
19890908,395.5
19890919,380
19890928,399.5
19891009,406.25
19891018,406.25
19891027,398.5
19891107,405.25
19891116,407.5
19891128,406.75
19891207,408
19891218,415
19891228,408.5
19900109,406.75
19900118,397.75
19900129,378.75
19900207,383
19900216,384
19900228,393.25
19900309,383.5
19900320,402.25
19900329,353
19900409,360.75
19900419,369
19900430,374.25
19900509,379.5
19900518,385.75
19900530,332.25
19900608,330.75
19900619,332.25
19900628,330.25
19900710,305.5
19900719,297.25
19900730,294
19900808,284.5
19900817,282.25
19900828,279.75
19900907,262.75
19900918,259.5
19900927,277.5
19901008,279.25
19901017,263.5
19901026,262.25
19901106,265.5
19901115,247.5
19901127,242.25
19901206,247
19901217,254.5
19901227,262.25
19910108,251.25
19910117,254
19910128,257.5
19910206,251.25
19910215,256.5
19910227,252.25
19910308,275.5
19910319,268.25
19910328,286.75
19910409,281.5
19910418,277.25
19910429,268.5
19910508,279.25
19910517,282.5
19910529,288.25
19910607,296
19910618,291.25
19910627,265
19910709,255.25
19910718,268.5
19910729,290.75
19910807,292.75
19910816,298
19910827,302.75
19910906,313
19910917,331.5
19910926,325.75
19911007,346.25
19911016,349.5
19911025,364.75
19911105,362.5
19911114,355.5
19911125,372.25
19911205,391.75
19911216,402.75
19911226,405.75
19920107,396.25
19920116,413
19920127,439.25
19920205,446.5
19920214,427
19920226,416
19920306,403
19920317,396
19920326,386.25
19920406,369.75
19920420,369
19920429,371
19920508,381
19920519,381.25
19920529,349.5
19920609,376.5
19920618,352.5
19920629,350
19920709,335.75
19920720,338.5
19920729,330.75
19920807,307.75
19920818,306.5
19920827,317.75
19920908,329.75
19920917,331
19920928,347.25
19921007,343.25
19921016,353
19921027,346.25
19921105,355.75
19921116,376
19921125,379.5
19921207,369.5
19921216,369
19921228,353.25
19930107,369.5
19930118,381.5
19930127,380.25
19930205,361.25
19930217,368.75
19930226,372.25
19930309,367
19930318,396
19930329,341.75
19930407,344.5
19930419,361.25
19930428,350.75
19930507,347
19930518,364.75
19930527,288.5
19930608,284.75
19930617,277.5
19930628,281.25
19930708,302.25
19930719,299
19930728,315.75
19930806,309
19930817,315
19930826,299.75
19930907,300.5
19930916,300.25
19930927,313.75
19931006,317.25
19931015,324.75
19931026,331
19931104,343
19931115,345.5
19931124,356.25
19931206,367
19931215,366.75
19931227,372
19940106,390.75
19940117,384.25
19940126,372.75
19940204,372.25
19940215,371
19940225,350
19940308,338
19940317,337.5
19940328,333.75
19940407,344.75
19940418,328
19940428,321.5
19940509,319.75
19940518,324
19940527,318
19940608,339
19940617,335.25
19940628,319.25
19940708,314
19940719,322.75
19940728,331.5
19940808,334.5
19940817,349.25
19940826,359
19940907,376
19940916,377
19940927,391.25
19941006,407.5
19941017,404
19941026,401
19941104,389.5
19941115,378.25
19941125,365.5
19941206,372.5
19941215,372
19941227,408.25
19950106,394.5
19950117,384.25
19950126,365.75
19950206,369.75
19950215,366.25
19950227,355.5
19950308,359.75
19950317,350
19950328,348
19950406,349.75
19950418,353
19950427,348.75
19950508,357.5
19950517,363
19950526,385.5
19950607,373.5
19950616,380.5
19950627,419
19950707,420.5
19950718,453.5
19950727,457.5
19950807,422.25
19950816,423.75
19950825,440.75
19950906,455.5
19950915,463
19950926,478.5
19951005,479
19951016,497.5
19951025,498.75
19951103,484
19951114,490.5
19951124,501.25
19951205,504
19951214,507.75
19951226,503.5
19960105,493.5
19960116,480
19960125,490.75
19960205,517.75
19960214,528
19960226,506.25
19960306,503.25
19960315,497
19960326,503
19960404,522.5
19960416,566.75
19960425,696.5
19960506,627
19960515,670
19960524,561
19960605,488.75
19960614,496
19960625,502.25
19960705,470
19960716,480.5
19960725,443.75
19960805,443.5
19960814,456
19960823,452.75
19960904,449
19960913,429
19960924,429.5
19961003,420
19961014,429.5
19961023,398.5
19961101,374.75
19961112,391.5
19961121,408.25
19961203,385
19961212,404
19961223,390.5
19970103,384
19970114,388
19970123,375.75
19970203,361.5
19970212,357.25
19970224,375
19970305,366.5
19970314,383.25
19970325,389.5
19970404,371.75
19970415,415.75
19970424,421.5
19970505,405.25
19970514,383
19970523,375
19970604,353.75
19970613,352.5
19970624,332.5
19970703,320.25
19970715,332
19970724,358.5
19970804,354.75
19970813,361.25
19970822,368.75
19970903,374.75
19970912,358.5
19970923,367
19971002,354.75
19971013,371.25
19971022,374
19971031,360.5
19971111,349.5
19971120,339.5
19971202,341.25
19971211,337
19971222,333
19980102,330.75
19980113,334
19980123,334.25
19980203,344.25
19980212,333.5
19980224,320.5
19980305,323.5
19980316,330.75
19980325,328.5
19980403,311.25
19980415,305.25
19980424,295
19980505,298
19980514,296
19980526,292.25
19980604,282.25
19980615,274.5
19980624,294.25
19980706,272.75
19980715,260.5
19980724,265.25
19980804,247.25
19980813,253.5
19980824,253
19980902,240
19980914,248.5
19980923,274.25
19981002,276
19981013,296
19981022,294
19981102,287.25
19981111,292.5
19981120,285.5
19981202,274.75
19981211,261
19981222,276.75
19990104,279
19990113,274.25
19990125,269.5
19990203,265.75
19990212,257.5
19990224,244.25
19990305,258
19990316,269
19990325,282.25
19990406,279.5
19990415,262.5
19990426,252.75
19990505,252.5
19990514,253
19990525,248.75
19990604,256.75
19990615,259
19990624,250
19990706,235.75
19990715,235.5
19990726,258.5
19990804,276.5
19990813,268.25
19990824,267.25
19990902,270.75
19990914,274
19990923,273.25
19991004,268.75
19991013,255.5
19991022,258
19991102,255.25
19991111,247
19991122,243.5
19991202,232.25
19991213,224
19991222,248
20000104,247.25
20000113,263.5
20000125,264.75
20000203,253.75
20000214,268.75
20000224,254.75
20000306,249.75
20000315,268.75
20000324,252.75
20000404,255.75
20000413,257.75
20000425,252.25
20000504,265.5
20000515,282.25
20000524,279.5
20000605,266
20000614,261.25
20000623,272.25
20000705,248
20000714,242.5
20000725,245.5
20000803,242.25
20000814,238.5
20000823,233.75
20000901,250.25
20000913,242
20000922,250.75
20001003,268.75
20001012,273.5
20001023,256.75
20001101,254.75
20001110,256.75
20001121,254.75
20001201,260.25
20001212,254.5
20001221,272.75
20010103,283.25
20010112,289
20010124,285.5
20010202,272
20010213,263
20010223,259.25
20010306,272.25
20010315,273.75
20010326,267
20010404,265.25
20010416,269.5
20010425,268.75
20010504,264
20010515,277.5
20010524,261.75
20010605,260.5
20010614,259.25
20010625,245.75
20010705,257
20010716,282
20010725,282.5
20010803,264.75
20010814,268.75
20010823,277.25
20010904,276.5
20010917,274.5
20010926,275.5
20011005,273.25
20011016,277.75
20011025,289
20011105,284.25
20011114,280.75
20011126,277
20011205,277.25
20011214,275
20011227,291
20020108,305
20020117,300.75
20020129,289.5
20020207,281
20020219,277.75
20020228,267.25
20020311,267.25
20020320,277.25
20020401,285.25
20020410,272.5
20020419,267
20020430,261.75
20020509,266.75
20020520,276.75
20020530,276.5
20020610,278.25
20020619,291.5
20020628,307
20020710,319.5
20020719,330.75
20020730,326
20020808,338.5
20020819,349.25
20020828,355.25
20020909,415
20020918,413
20020927,402.5
20021008,381.75
20021017,406
20021028,415.5
20021106,394.5
20021115,389.75
20021126,374.5
20021206,349.25
20021217,361.5
20021230,329
20030109,329
20030121,319.25
20030130,315
20030210,334.75
20030220,332
20030303,318.25
20030312,306.5
20030321,286
20030401,283
20030410,285.5
20030422,288.25
20030501,275.5
20030512,326
20030521,332.25
20030602,318.75
20030611,330.5
20030620,311.75
20030701,306.25
20030711,314.5
20030722,333.25
20030731,348.5
20030811,358.5
20030820,366
20030829,367.5
20030910,345
20030919,347.25
20030930,360.25
20031009,327.25
20031020,333.75
20031029,375.75
20031107,378
20031118,388.25
20031128,394.25
20031209,395
20031218,393.25
20031230,365.25
20040109,385.5
20040121,392
20040130,389
20040210,384.5
20040220,371.5
20040302,374
20040311,355
20040322,422.75
20040331,408
20040412,407.5
20040421,385
20040430,381.5
20040511,370
20040520,370.25
20040601,388.25
20040610,350.5
20040622,343.75
20040701,330.5
20040713,333
20040722,322.75
20040802,317
20040811,304.75
20040820,312
20040831,309.75
20040910,323
20040921,334.75
20040930,306.75
20041011,303
20041020,313.5
20041029,316.5
20041109,304.5
20041118,316.25
20041129,287
20041208,287.25
20041217,304.25
20041228,305
20050106,308.25
20050118,296.5
20050127,289.5
20050207,292.5
20050216,292.5
20050228,337.25
20050309,333.5
20050318,356.5
20050330,333.5
20050408,310
20050419,308
20050428,317.25
20050509,305.5
20050518,315
20050527,335
20050608,313.25
20050617,327.5
20050628,327.75
20050708,328.5
20050719,338.5
20050728,333
20050808,322.25
20050817,314.25
20050826,312.25
20050907,303.5
20050916,324.25
20050927,327
20051006,345.25
20051017,336.25
20051026,323.5
20051104,311.25
20051115,307
20051125,297
20051206,299.75
20051215,318.75
20051227,340
20060106,330.75
20060118,322.5
20060127,343.5
20060207,351.75
20060216,359
20060228,370.25
20060309,370.75
20060320,350.25
20060329,341.75
20060407,351.25
20060419,354.75
20060428,346.25
